"paper_id","source_key","title","doi","year","journal","pdf_path","md_path","status","source_quality","added_at","started_at","completed_at","notes"
"P2026-0011","doi:10.1016/j.asoc.2025.114158","A cascade clustering-based two-stage evolutionary algorithm for large-scale multimodal multi-objective optimisation","10.1016/j.asoc.2025.114158","2026","Applied Soft Computing","pdfs/Ding2026_Cascade.pdf","MD/Ding2026_Cascade.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:39:52","2026-06-18T20:45:02",""
"P2026-0012","doi:10.1016/j.asoc.2025.114174","Modelling and simulation of distributed target allocation based on improved NSGA-II in multi-UUV collaborative attack","10.1016/j.asoc.2025.114174","2026","Applied Soft Computing","pdfs/He2026_Modelling.pdf","MD/He2026_Modelling.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T22:20:30","2026-06-18T22:25:25",""
"P2026-0013","doi:10.1016/j.asoc.2025.114177","A special point-guided surrogate-assisted multi-objective evolutionary algorithm for complex pareto fronts","10.1016/j.asoc.2025.114177","2026","Applied Soft Computing","pdfs/He2026_Special.pdf","MD/He2026_Special.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T22:25:54","2026-06-18T22:30:18",""
"P2026-0014","doi:10.1016/j.asoc.2025.114294","Distributed multi-objective fast convergent heuristic algorithm for novel power systems dispatch","10.1016/j.asoc.2025.114294","2026","Applied Soft Computing","pdfs/Lu2026_Distributed.pdf","MD/Lu2026_Distributed.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T15:50:41","2026-06-19T15:55:06",""
"P2026-0015","doi:10.1016/j.asoc.2025.114318","A hybrid evolutionary framework assisted by reinforcement learning for mixed multi-objective optimization features","10.1016/j.asoc.2025.114318","2026","Applied Soft Computing","pdfs/Tang2026_Hybrid.pdf","MD/Tang2026_Hybrid.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T17:48:17","2026-06-19T17:54:15",""
"P2026-0016","doi:10.1016/j.asoc.2025.114320","A multi-objective ensemble learning model with re-decomposition and residual learning for grain futures price prediction","10.1016/j.asoc.2025.114320","2026","Applied Soft Computing","pdfs/Zhang2026_Multi.pdf","MD/Zhang2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:50:59","2026-06-19T21:57:28",""
"P2026-0017","doi:10.1016/j.asoc.2025.114326","Performance enhancement and multi-objective optimization of a novel solar-driven system using soft computing for sustainable energy applications","10.1016/j.asoc.2025.114326","2026","Applied Soft Computing","pdfs/Omidipour2026_Performance.pdf","MD/Omidipour2026_Performance.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:06:18","2026-06-19T16:10:09",""
"P2026-0018","doi:10.1016/j.asoc.2025.114336","Utilizing simplified structural information for multiobjective community detection","10.1016/j.asoc.2025.114336","2026","Applied Soft Computing","pdfs/Li2026_Utilizing.pdf","MD/Li2026_Utilizing.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T15:28:55","2026-06-19T15:35:25",""
"P2026-0019","doi:10.1016/j.asoc.2025.114343","A dual-stage dual-population evolutionary algorithm using new adaptive environmental selection method for complex constrained multi-objective optimization","10.1016/j.asoc.2025.114343","2026","Applied Soft Computing","pdfs/Deng2026_Dual.pdf","MD/Deng2026_Dual.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:35:45","2026-06-18T20:40:02",""
"P2026-0020","doi:10.1016/j.asoc.2025.114349","A Q-learning based multi-objective memetic algorithm for dual-resource-constrained energy-saving distributed flexible job shop scheduling with applications in aerospace manufacturing","10.1016/j.asoc.2025.114349","2026","Applied Soft Computing","pdfs/Wang2026_Learning.pdf","MD/Wang2026_Learning.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T19:30:30","2026-06-19T19:38:57",""
"P2026-0021","doi:10.1016/j.asoc.2025.114352","Comment-based summarization using a multi-objective cuckoo search optimization approach","10.1016/j.asoc.2025.114352","2026","Applied Soft Computing","pdfs/SanchezGomez2026_Comment.pdf","MD/SanchezGomez2026_Comment.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:42:49","2026-06-19T16:46:48",""
"P2026-0022","doi:10.1016/j.asoc.2025.114366","Overcoming scalability challenges in multi-objective flexible jobshop scheduling algorithms by automatic configuration","10.1016/j.asoc.2025.114366","2026","Applied Soft Computing","pdfs/Zhang2026_Overcoming.pdf","MD/Zhang2026_Overcoming.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:56:33","2026-06-19T22:03:39",""
"P2026-0023","doi:10.1016/j.asoc.2025.114408","Stepwise sampling coevolutionary framework for expensive constrained multiobjective optimization problems","10.1016/j.asoc.2025.114408","2026","Applied Soft Computing","pdfs/Ding2026_Stepwise.pdf","MD/Ding2026_Stepwise.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:45:22","2026-06-18T20:49:01",""
"P2026-0024","doi:10.1016/j.asoc.2025.114449","A dendrite net learning multi-objective artificial bee colony algorithm for UAV","10.1016/j.asoc.2025.114449","2026","Applied Soft Computing","pdfs/Huang2026_Dendrite.pdf","MD/Huang2026_Dendrite.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T22:30:28","2026-06-18T22:33:27",""
"P2026-0025","doi:10.1016/j.asoc.2025.114454","MoBLS: A broad learning system with multi-objective optimization","10.1016/j.asoc.2025.114454","2026","Applied Soft Computing","pdfs/Xie2026_Mobls.pdf","MD/Xie2026_Mobls.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T20:32:18","2026-06-19T20:39:21",""
"P2026-0026","doi:10.1016/j.asoc.2025.114484","A smart multi-objective differential evolution algorithm for energy-efficient scheduling in parallel batch processing machines","10.1016/j.asoc.2025.114484","2026","Applied Soft Computing","pdfs/Chen2026_Smart.pdf","MD/Chen2026_Smart.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:05:13","2026-06-18T20:24:16",""
"P2026-0027","doi:10.1016/j.asoc.2025.114494","Hybrid data-driven cement-stabilized soil design: An integration of machine learning, multi-objective optimization, and life cycle assessment","10.1016/j.asoc.2025.114494","2026","Applied Soft Computing","pdfs/Onyekwena2026_Hybrid.pdf","MD/Onyekwena2026_Hybrid.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:09:42","2026-06-19T16:15:24",""
"P2026-0028","doi:10.1016/j.asoc.2025.114511","Evolutionary multitasking for multi-objective feature selection in fish chemical analysis","10.1016/j.asoc.2025.114511","2026","Applied Soft Computing","pdfs/Lin2026_Evolutionary.pdf","MD/Lin2026_Evolutionary.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T15:34:49","2026-06-19T15:44:03",""
"P2026-0029","doi:10.1016/j.asoc.2025.114518","A dual-population evolutionary algorithm with variable constraint guidance for constrained multi-objective optimization problems","10.1016/j.asoc.2025.114518","2026","Applied Soft Computing","pdfs/Zhao2026_Dual.pdf","MD/Zhao2026_Dual.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T22:04:46","2026-06-19T22:11:16",""
"P2026-0030","doi:10.1016/j.asoc.2025.114526","Multi-objective genetic algorithm with maximum-entropy classification and domain-specific evolutionary operators for microorganism selection on microbiomes","10.1016/j.asoc.2025.114526","2026","Applied Soft Computing","pdfs/RodrguezBejarano2026_Multi.pdf","MD/RodrguezBejarano2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:38:20","2026-06-19T16:42:12",""
"P2026-0031","doi:10.1016/j.asoc.2026.114591","A dual-population based uniform search framework for solving large-scale multi-objective optimization problems","10.1016/j.asoc.2026.114591","2026","Applied Soft Computing","pdfs/Guo2026_Dual.pdf","MD/Guo2026_Dual.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T21:25:40","2026-06-18T21:31:39",""
"P2026-0032","doi:10.1016/j.asoc.2026.114597","Constrained multi-objective evolutionary algorithm with an infeasibility-aided strategy for the vehicle routing problem with time windows","10.1016/j.asoc.2026.114597","2026","Applied Soft Computing","pdfs/Cai2026_Constrained.pdf","MD/Cai2026_Constrained.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-12T00:18:56","2026-06-12T00:23:29",""
"P2026-0033","doi:10.1016/j.asoc.2026.114617","A hybrid NSGA-II and delayed local search approach for home healthcare scheduling and routing optimization","10.1016/j.asoc.2026.114617","2026","Applied Soft Computing","pdfs/Zaghdoud2026_Hybrid.pdf","MD/Zaghdoud2026_Hybrid.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:30:23","2026-06-19T21:35:15",""
"P2026-0034","doi:10.1016/j.asoc.2026.114685","Multi-objective evolutionary algorithms and integer programming for the optimization of underwater acoustic sensor network design","10.1016/j.asoc.2026.114685","2026","Applied Soft Computing","pdfs/Lemarchand2026_Multi.pdf","MD/Lemarchand2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T15:03:07","2026-06-19T15:09:31",""
"P2026-0035","doi:10.1016/j.asoc.2026.114692","A learning-driven artificial bee colony algorithm for mobile robot multi-objective path planning","10.1016/j.asoc.2026.114692","2026","Applied Soft Computing","pdfs/Ye2026_Learning.pdf","MD/Ye2026_Learning.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:07:13","2026-06-19T21:11:04",""
"P2026-0036","doi:10.1016/j.asoc.2026.114719","From rewards to decisions: State-aware multi-objective group decision-making reinforcement learning for volatile futures","10.1016/j.asoc.2026.114719","2026","Applied Soft Computing","pdfs/Zhu2026_Rewards.pdf","MD/Zhu2026_Rewards.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T22:36:54","2026-06-19T22:45:45",""
"P2026-0037","doi:10.1016/j.asoc.2026.114741","Adaptive multi-region multi-directional competitive swarm optimizer algorithm for large-scale multi-objective problems","10.1016/j.asoc.2026.114741","2026","Applied Soft Computing","pdfs/Chen2026_Adaptive.pdf","MD/Chen2026_Adaptive.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-12T00:19:42","2026-06-12T00:27:03",""
"P2026-0038","doi:10.1016/j.asoc.2026.114757","Multi-objective adaptive large neighborhood search for multi-scenario robust co-scheduling of locks, berths and trucks","10.1016/j.asoc.2026.114757","2026","Applied Soft Computing","pdfs/Yin2026_Multi.pdf","MD/Yin2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:17:41","2026-06-19T21:23:24",""
"P2026-0039","doi:10.1016/j.asoc.2026.114777","A dual-strategy multi-objective evolutionary algorithm with domain-informed mutation and secondary weighted selection for counterfactual explanations in knowledge tracing","10.1016/j.asoc.2026.114777","2026","Applied Soft Computing","pdfs/Gao2026_Dual.pdf","MD/Gao2026_Dual.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:55:25","2026-06-18T21:00:22",""
"P2026-0040","doi:10.1016/j.asoc.2026.114790","Evolving explainable neural architectures: Dynamic behavioral-novelty weighting in multi-objective neuroevolution for multimodal spam detection","10.1016/j.asoc.2026.114790","2026","Applied Soft Computing","pdfs/Filali2026_Evolving.pdf","MD/Filali2026_Evolving.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:52:58","2026-06-18T20:57:31",""
"P2026-0041","doi:10.1016/j.asoc.2026.114811","Multi-objective decision-making control of cutter suction dredger based on multi-scale graph representation with Bayesian optimization","10.1016/j.asoc.2026.114811","2026","Applied Soft Computing","pdfs/Chen2026_Multi.pdf","MD/Chen2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T19:43:01","2026-06-18T19:53:36",""
"P2026-0042","doi:10.1016/j.asoc.2026.114836","Deep reinforcement learning-based two-stage coevolutionary framework for multimodal multi-objective optimization","10.1016/j.asoc.2026.114836","2026","Applied Soft Computing","pdfs/Dang2026_Deep.pdf","MD/Dang2026_Deep.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:34:37","2026-06-18T20:39:39",""
"P2026-0043","doi:10.1016/j.asoc.2026.114851","Self-adaptive resource allocation based on reinforcement learning for multi-concept multi-objective optimization","10.1016/j.asoc.2026.114851","2026","Applied Soft Computing","pdfs/Shi2026_Self.pdf","MD/Shi2026_Self.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T17:06:30","2026-06-19T17:32:27",""
"P2026-0044","doi:10.1016/j.asoc.2026.114858","Probabilistic electric load forecasting via adaptive online learning and multi-objective optimization: A NA-TP forecasting approach","10.1016/j.asoc.2026.114858","2026","Applied Soft Computing","pdfs/ThiNgocAnh2026_Probabilistic.pdf","MD/ThiNgocAnh2026_Probabilistic.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T17:59:18","2026-06-19T18:00:38",""
"P2026-0045","doi:10.1016/j.asoc.2026.114863","A novel framework for multi-objective optimization integrating persistent homology and graph-based learning: TAGON","10.1016/j.asoc.2026.114863","2026","Applied Soft Computing","pdfs/Yerlikaya2026_Novel.pdf","MD/Yerlikaya2026_Novel.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:14:26","2026-06-19T21:20:02",""
"P2026-0046","doi:10.1016/j.asoc.2026.114924","On discovering and analyzing variable dependencies to construct an effective and efficient optimizer dedicated to solving the new real-world multi-objective resource-allocation problem","10.1016/j.asoc.2026.114924","2026","Applied Soft Computing","pdfs/Przewozniczek2026_Discovering.pdf","MD/Przewozniczek2026_Discovering.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:25:50","2026-06-19T16:36:34",""
"P2026-0047","doi:10.1016/j.asoc.2026.114935","An adaptive high-order knowledge guided multi-objective evolutionary algorithm for dynamic community detection","10.1016/j.asoc.2026.114935","2026","Applied Soft Computing","pdfs/Teng2026_Adaptive.pdf","MD/Teng2026_Adaptive.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T17:54:45","2026-06-19T17:59:03",""
"P2026-0048","doi:10.1016/j.asoc.2026.114950","An exploratory competitive swarm optimizer assisted by convergence sampling for large-scale multiobjective optimization","10.1016/j.asoc.2026.114950","2026","Applied Soft Computing","pdfs/He2026_Exploratory.pdf","MD/He2026_Exploratory.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T22:12:13","2026-06-18T22:15:54",""
"P2026-0049","doi:10.1016/j.asoc.2026.115010","An asynchronous parallel symbolic regression approach based on multiobjective genetic programming with GPU acceleration","10.1016/j.asoc.2026.115010","2026","Applied Soft Computing","pdfs/Fan2026_Asynchronous.pdf","MD/Fan2026_Asynchronous.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:49:14","2026-06-18T20:52:45",""
"P2026-0050","doi:10.1016/j.asoc.2026.115026","Stable and efficient rescheduling for flight task testing with multi-objective consideration","10.1016/j.asoc.2026.115026","2026","Applied Soft Computing","pdfs/Zhang2026_Stable.pdf","MD/Zhang2026_Stable.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T22:04:06","2026-06-19T22:10:55",""
"P2026-0051","doi:10.1016/j.asoc.2026.115065","Optimized deployment–monitoring synchronized array method for passive sonobuoys based on an improved NSGA-II algorithm","10.1016/j.asoc.2026.115065","2026","Applied Soft Computing","pdfs/Bi2026_Optimized.pdf","MD/Bi2026_Optimized.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-12T00:09:55","2026-06-12T00:16:05",""
"P2026-0052","doi:10.1016/j.asoc.2026.115067","A novel large-scale multi-objective particle swarm optimization based on distribution direction of pareto set","10.1016/j.asoc.2026.115067","2026","Applied Soft Computing","pdfs/Zeng2026_Novel.pdf","MD/Zeng2026_Novel.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:35:38","2026-06-19T21:40:23",""
"P2026-0053","doi:10.1016/j.asoc.2026.115641","A constrained multi-objective co-evolutionary algorithm with dynamic game","10.1016/j.asoc.2026.115641","2026","Applied Soft Computing","pdfs/Li2026_Constrained.pdf","MD/Li2026_Constrained.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T15:09:59","2026-06-19T15:17:31",""
"P2026-0054","doi:10.1016/j.asoc.2026.115645","A reference vector-guided many-objective evolutionary algorithm based on an adaptive adjustment strategy","10.1016/j.asoc.2026.115645","2026","Applied Soft Computing","pdfs/Qiao2026_Reference.pdf","MD/Qiao2026_Reference.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:26:08","2026-06-19T16:30:29",""
"P2026-0055","doi:10.1016/j.engappai.2025.112791","Secure and energy-efficient unmanned aerial vehicle-enabled visible light communication via a multi-objective optimization approach","10.1016/j.engappai.2025.112791","2026","Engineering Applications of Artificial Intelligence","pdfs/Liu2026_Secure.pdf","MD/Liu2026_Secure.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T15:44:17","2026-06-19T15:50:29",""
"P2026-0056","doi:10.1016/j.engappai.2025.112824","Mutual risk prompt learning with multi-objective optimization for collaborative tumor and peritumor segmentation","10.1016/j.engappai.2025.112824","2026","Engineering Applications of Artificial Intelligence","pdfs/Tong2026_Mutual.pdf","MD/Tong2026_Mutual.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T18:44:33","2026-06-19T18:50:30",""
"P2026-0057","doi:10.1016/j.engappai.2025.112886","Upsampling graph convolutional neural networks enhanced multimodal multi-objective evolutionary algorithm","10.1016/j.engappai.2025.112886","2026","Engineering Applications of Artificial Intelligence","pdfs/Yang2026_Upsampling.pdf","MD/Yang2026_Upsampling.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:02:30","2026-06-19T21:06:25",""
"P2026-0058","doi:10.1016/j.engappai.2025.112976","Large-scale stochastic production decision-making for coupled economy-environment-energy systems in sustainable industrial processes under uncertainty: A data-driven two-stage multi-objective optimization framework","10.1016/j.engappai.2025.112976","2026","Engineering Applications of Artificial Intelligence","pdfs/Zhang2026_Large.pdf","MD/Zhang2026_Large.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:50:02","2026-06-19T21:55:55",""
"P2026-0059","doi:10.1016/j.engappai.2025.113177","A multiobjective construction site layout and safety planning model based on evolutionary algorithms","10.1016/j.engappai.2025.113177","2026","Engineering Applications of Artificial Intelligence","pdfs/Lei2026_Multiobjective.pdf","MD/Lei2026_Multiobjective.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T14:57:06","2026-06-19T15:01:56",""
"P2026-0060","doi:10.1016/j.engappai.2025.113254","Multi-objective mix optimization of geopolymer recycled aggregate concrete using prior knowledge embedded neural network and evolutionary algorithm","10.1016/j.engappai.2025.113254","2026","Engineering Applications of Artificial Intelligence","pdfs/Guo2026_Multi.pdf","MD/Guo2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T21:42:30","2026-06-18T21:47:19",""
"P2026-0061","doi:10.1016/j.engappai.2025.113349","Neural network-guided genetic algorithm for multi-objective optimization of fin-and-tube heat exchangers incorporating novel curved winglets","10.1016/j.engappai.2025.113349","2026","Engineering Applications of Artificial Intelligence","pdfs/Sharma2026_Neural.pdf","MD/Sharma2026_Neural.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:54:59","2026-06-19T16:57:28",""
"P2026-0062","doi:10.1016/j.engappai.2025.113368","A fuzzy cross domain matrix machine for fault diagnosis under multi-objective domain","10.1016/j.engappai.2025.113368","2026","Engineering Applications of Artificial Intelligence","pdfs/Pan2026_Fuzzy.pdf","MD/Pan2026_Fuzzy.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:22:45","2026-06-19T16:25:36",""
"P2026-0063","doi:10.1016/j.engappai.2025.113386","Multi-objective optimization of rail welded joint grinding in railroad tracks via reinforcement learning","10.1016/j.engappai.2025.113386","2026","Engineering Applications of Artificial Intelligence","pdfs/Gao2026_Multi.pdf","MD/Gao2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:58:30","2026-06-18T21:02:13",""
"P2026-0064","doi:10.1016/j.engappai.2025.113469","Sustainable configuration of production lines: Multi-objective energy-efficient optimization with adaptive differential evolution and golden ratio algorithms","10.1016/j.engappai.2025.113469","2026","Engineering Applications of Artificial Intelligence","pdfs/Koyuncuolu2026_Sustainable.pdf","MD/Koyuncuolu2026_Sustainable.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T14:47:58","2026-06-19T14:52:01",""
"P2026-0065","doi:10.1016/j.engappai.2025.113474","Data-driven multi-objective synergistic to targeted enhancement framework for high-performance aluminum alloy design","10.1016/j.engappai.2025.113474","2026","Engineering Applications of Artificial Intelligence","pdfs/Zhang2026_Data.pdf","MD/Zhang2026_Data.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:41:18","2026-06-19T21:45:28",""
"P2026-0066","doi:10.1016/j.engappai.2025.113496","Interval adaptive multi-objective optimization of the proton exchange membrane fuel cell system considering parameter perturbation","10.1016/j.engappai.2025.113496","2026","Engineering Applications of Artificial Intelligence","pdfs/Wang2026_Interval.pdf","MD/Wang2026_Interval.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T19:22:47","2026-06-19T19:29:58",""
"P2026-0067","doi:10.1016/j.engappai.2025.113502","Multi-objective optimization of sustainable fly ash cement bricks considering compressive strength and carbon emission","10.1016/j.engappai.2025.113502","2026","Engineering Applications of Artificial Intelligence","pdfs/Mumtaz2026_Multi.pdf","MD/Mumtaz2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:02:57","2026-06-19T16:09:04",""
"P2026-0068","doi:10.1016/j.engappai.2025.113691","Multi-Objective design of interlocking metasurfaces using conditional diffusion models","10.1016/j.engappai.2025.113691","2026","Engineering Applications of Artificial Intelligence","pdfs/Brown2026_Multi.pdf","MD/Brown2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-12T00:10:29","2026-06-12T00:23:09",""
"P2026-0069","doi:10.1016/j.engappai.2025.113703","A zero-shot tree-structured multi-objective evolutionary Neural Architecture Search","10.1016/j.engappai.2025.113703","2026","Engineering Applications of Artificial Intelligence","pdfs/Dai2026_Zero.pdf","MD/Dai2026_Zero.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:28:59","2026-06-18T20:34:18",""
"P2026-0070","doi:10.1016/j.engappai.2026.113724","A novel Quantum Beta distributed multi-objective Particle Swarm Optimization algorithm for fake accounts detection","10.1016/j.engappai.2026.113724","2026","Engineering Applications of Artificial Intelligence","pdfs/Aboud2026_Novel.pdf","MD/Aboud2026_Novel.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-11T21:03:15","2026-06-11T21:29:10",""
"P2026-0071","doi:10.1016/j.engappai.2026.113777","Multiple task nonparallel embedded matrix machine and its application in multi-objective fault diagnosis","10.1016/j.engappai.2026.113777","2026","Engineering Applications of Artificial Intelligence","pdfs/Pan2026_Multiple.pdf","MD/Pan2026_Multiple.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T16:22:59","2026-06-19T16:25:30",""
"P2026-0072","doi:10.1016/j.engappai.2026.114045","Multi-objective walking sheep identification method through the back appearance and diversion channel","10.1016/j.engappai.2026.114045","2026","Engineering Applications of Artificial Intelligence","pdfs/Xue2026_Multi.pdf","MD/Xue2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T20:43:21","2026-06-19T20:51:30",""
"P2026-0073","doi:10.1016/j.engappai.2026.114064","A sustainable multi-objective economic production quantity model with learning–forgetting and green technology investment","10.1016/j.engappai.2026.114064","2026","Engineering Applications of Artificial Intelligence","pdfs/Halder2026_Sustainable.pdf","MD/Halder2026_Sustainable.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T21:51:41","2026-06-18T21:55:36",""
"P2026-0074","doi:10.1016/j.engappai.2026.114271","Exergy-aware multi-objective scheduling of multi-energy microgrid via physics-guided soft-hard constrained deep reinforcement learning","10.1016/j.engappai.2026.114271","2026","Engineering Applications of Artificial Intelligence","pdfs/Zhao2026_Exergy.pdf","MD/Zhao2026_Exergy.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T22:11:37","2026-06-19T22:16:12",""
